time,EURUSD,GBPUSD,EURAUD
2018-03-29 03:00:00+00:00,1.230685,1.40396,1.604505
2018-03-29 09:00:00+00:00,1.22987,1.403255,1.603085
2018-03-29 15:00:00+00:00,1.229985,1.40192,1.60199
2018-03-29 21:00:00+00:00,1.231475,1.40289,1.60262
2018-03-30 03:00:00+00:00,1.23285,1.405475,1.60085
2018-03-30 09:00:00+00:00,1.232135,1.403575,1.60215
2018-03-30 15:00:00+00:00,1.23241,1.40121,1.60417
2018-04-01 21:00:00+00:00,1.232385,1.404775,1.60501
2018-04-02 03:00:00+00:00,1.232905,1.40656,1.60497
2018-04-02 09:00:00+00:00,1.231195,1.40559,1.606015
2018-04-02 15:00:00+00:00,1.230195,1.40431,1.60575
2018-04-02 21:00:00+00:00,1.23075,1.405705,1.602895
2018-04-03 03:00:00+00:00,1.2317,1.40812,1.601795
2018-04-03 09:00:00+00:00,1.227285,1.40384,1.599465
2018-04-03 15:00:00+00:00,1.227065,1.40599,1.59669
2018-04-03 21:00:00+00:00,1.228105,1.40877,1.59332
2018-04-04 03:00:00+00:00,1.229225,1.40767,1.60107
2018-04-04 09:00:00+00:00,1.22985,1.408425,1.59707
2018-04-04 15:00:00+00:00,1.22777,1.40792,1.59107
2018-04-04 21:00:00+00:00,1.227985,1.407725,1.59365
2018-04-05 03:00:00+00:00,1.22669,1.40405,1.59655
2018-04-05 09:00:00+00:00,1.222925,1.39984,1.591175
2018-04-05 15:00:00+00:00,1.223985,1.40047,1.59275
2018-04-05 21:00:00+00:00,1.22553,1.401385,1.59399
2018-04-06 03:00:00+00:00,1.22355,1.400495,1.592085
2018-04-06 09:00:00+00:00,1.226165,1.408265,1.595955
2018-04-06 15:00:00+00:00,1.22811,1.40926,1.60022
2018-04-08 21:00:00+00:00,1.22735,1.409675,1.5965
2018-04-09 03:00:00+00:00,1.22801,1.41113,1.60183
2018-04-09 09:00:00+00:00,1.231105,1.41276,1.60051
2018-04-09 15:00:00+00:00,1.23209,1.41302,1.600435
2018-04-09 21:00:00+00:00,1.231645,1.412915,1.59221
2018-04-10 03:00:00+00:00,1.232515,1.41672,1.59462
2018-04-10 09:00:00+00:00,1.234965,1.41733,1.59299
2018-04-10 15:00:00+00:00,1.235595,1.41745,1.591845
2018-04-10 21:00:00+00:00,1.235855,1.417685,1.594425
2018-04-11 03:00:00+00:00,1.23772,1.419455,1.59756
2018-04-11 09:00:00+00:00,1.238385,1.420695,1.593555
2018-04-11 15:00:00+00:00,1.236745,1.41762,1.594395
2018-04-11 21:00:00+00:00,1.236525,1.417905,1.59514
2018-04-12 03:00:00+00:00,1.23459,1.415805,1.59446
2018-04-12 09:00:00+00:00,1.23171,1.423215,1.587525
2018-04-12 15:00:00+00:00,1.232605,1.422595,1.5895
2018-04-12 21:00:00+00:00,1.23293,1.42364,1.58619
2018-04-13 03:00:00+00:00,1.233485,1.42845,1.58243
2018-04-13 09:00:00+00:00,1.2328,1.424775,1.585925
2018-04-13 15:00:00+00:00,1.23306,1.42371,1.58836
2018-04-15 21:00:00+00:00,1.23402,1.42612,1.587505
2018-04-16 03:00:00+00:00,1.236495,1.42714,1.59074
2018-04-16 09:00:00+00:00,1.236735,1.432885,1.59033
2018-04-16 15:00:00+00:00,1.237915,1.43395,1.590915
2018-04-16 21:00:00+00:00,1.238145,1.43398,1.593185
2018-04-17 03:00:00+00:00,1.238545,1.4328,1.59213
2018-04-17 09:00:00+00:00,1.234585,1.4309,1.588875
2018-04-17 15:00:00+00:00,1.236975,1.42884,1.59255
2018-04-17 21:00:00+00:00,1.23799,1.430555,1.59397
2018-04-18 03:00:00+00:00,1.23594,1.419275,1.595115
2018-04-18 09:00:00+00:00,1.23769,1.42346,1.588455
2018-04-18 15:00:00+00:00,1.237415,1.42046,1.58974
2018-04-18 21:00:00+00:00,1.23779,1.419425,1.590735
2018-04-19 03:00:00+00:00,1.236645,1.417805,1.586185
2018-04-19 09:00:00+00:00,1.23645,1.42204,1.5906
2018-04-19 15:00:00+00:00,1.23451,1.40864,1.597195
2018-04-19 21:00:00+00:00,1.233785,1.40757,1.599605
2018-04-20 03:00:00+00:00,1.231465,1.406655,1.598455
2018-04-20 09:00:00+00:00,1.22792,1.402475,1.600065
2018-04-20 15:00:00+00:00,1.22884,1.4003,1.60203
2018-04-22 21:00:00+00:00,1.227515,1.40227,1.59898
2018-04-23 03:00:00+00:00,1.223865,1.39909,1.60063
2018-04-23 09:00:00+00:00,1.22207,1.39505,1.60439
2018-04-23 15:00:00+00:00,1.22083,1.393835,1.605515
2018-04-23 21:00:00+00:00,1.220805,1.394235,1.60458
2018-04-24 03:00:00+00:00,1.220285,1.395305,1.602695
2018-04-24 09:00:00+00:00,1.22149,1.396335,1.60868
2018-04-24 15:00:00+00:00,1.2233,1.397735,1.60882
2018-04-24 21:00:00+00:00,1.222565,1.39808,1.611925
2018-04-25 03:00:00+00:00,1.2203,1.39564,1.61053
2018-04-25 09:00:00+00:00,1.21721,1.393465,1.60989
2018-04-25 15:00:00+00:00,1.216075,1.393185,1.60756
2018-04-25 21:00:00+00:00,1.21716,1.39398,1.60823
2018-04-26 03:00:00+00:00,1.21712,1.39111,1.609485
2018-04-26 09:00:00+00:00,1.21152,1.39357,1.60366
2018-04-26 15:00:00+00:00,1.210325,1.39168,1.6023
2018-04-26 21:00:00+00:00,1.2112,1.392485,1.602575
